Ticket_ID,Subject,Message,Order_ID,Status,Priority,Country
1038,Newsletter Unsubscribe Issue,"I've tried to unsubscribe from your marketing emails several times, but I keep receiving them.",N/A,Open,Low,Sweden
1039,Inconsistent Pricing,The price for 'Hiking Boots' changed from $120 to $150 between adding it to the cart and checkout.,N/A,Open,High,Germany
1040,Follow-up on Previous Ticket,"I am following up on ticket #998, which was about a delivery issue two weeks ago.",ORD-2026-98790,Open,Medium,Denmark
1041,Request for Loyalty Program Info,How do I sign up for your loyalty program and what are the benefits?,N/A,Open,Low,Denmark
1042,Problem with Checkout Address Autofill,The address autofill feature is populating an old address when I try to place an order.,N/A,Open,Medium,Sweden
1043,Need Proof of Delivery,"The tracking shows 'Delivered,' but I never received the package. I need proof of delivery.",ORD-2026-98791,Open,High,Germany
1044,Request to Add Item to Existing Order,I forgot to add a small item ('Shoelaces') to my recent order. Can it be added?,ORD-2026-98792,Pending,Medium,Sweden
1045,Inquiry about International Shipping,"Do you ship the 'Portable Speaker' to Germany? If so, what are the costs and expected timeline?",N/A,Open,Low,Denmark
1046,Item Not as Pictured,The color of the 'Turquoise Pendant' is much darker in person than it appeared on the website.,ORD-2026-98793,Open,High,Denmark
1047,Unable to Process Return Online,The online return portal keeps freezing when I try to submit my return request for item 456.,ORD-2026-98794,Open,Medium,Denmark
1048,Question about Ingredients,I have an allergy. Can you confirm if the 'Protein Powder' contains any nuts?,N/A,Open,Low,UK
1049,Technical Issue with Gift Card,I am unable to redeem my e-gift card (Code: GFT789). It says the code is invalid.,N/A,Open,High,Germany
1050,Request for Size Exchange,I want to exchange the size 8 'Running Shoes' for a size 9. Please advise on the process.,ORD-2026-98795,Open,High,UK
